wavelength_angstrom,normalized_flux
3000.0,1.075744
3005.0,1.042657
3010.0,1.096724
3015.0,1.127203
3020.0,1.105136
3025.0,1.102453
3030.0,1.057557
3035.0,1.029516
3040.0,1.044719
3045.0,1.057643
3050.0,1.062097
3055.0,1.065802
3060.0,1.027813
3065.0,0.977346
3070.0,0.989112
3075.0,1.006889
3080.0,1.029998
3085.0,1.029037
3090.0,1.014102
3095.0,1.013649
3100.0,1.039882
3105.0,1.077469
3110.0,1.065458
3115.0,1.083534
3120.0,1.057059
3125.0,1.055246
3130.0,1.083491
3135.0,1.119045
3140.0,1.118130
3145.0,1.127726
3150.0,1.111077
3155.0,1.094537
3160.0,1.094723
3165.0,1.091830
3170.0,1.081404
3175.0,1.096475
3180.0,1.105526
3185.0,1.041727
3190.0,1.059727
3195.0,1.084941
3200.0,1.104452
3205.0,1.105508
3210.0,1.106636
3215.0,1.107849
3220.0,1.109161
3225.0,1.110585
3230.0,1.112135
3235.0,1.113824
3240.0,1.115666
3245.0,1.117675
3250.0,1.119863
3255.0,1.122231
3260.0,1.124720
3265.0,1.127260
3270.0,1.129778
3275.0,1.132202
3280.0,1.134461
3285.0,1.136484
3290.0,1.138197
3295.0,1.139530
3300.0,1.140411
3305.0,1.140789
3310.0,1.140702
3315.0,1.140205
3320.0,1.139358
3325.0,1.138217
3330.0,1.136842
3335.0,1.135288
3340.0,1.133614
3345.0,1.131878
3350.0,1.130137
3355.0,1.128439
3360.0,1.126788
3365.0,1.125181
3370.0,1.123612
3375.0,1.122077
3380.0,1.120569
3385.0,1.119086
3390.0,1.117621
3395.0,1.116169
3400.0,1.114726
3405.0,1.113292
3410.0,1.111885
3415.0,1.110529
3420.0,1.109247
3425.0,1.108065
3430.0,1.107003
3435.0,1.106088
3440.0,1.105342
3445.0,1.104789
3450.0,1.104452
3455.0,1.104342
3460.0,1.104413
3465.0,1.104606
3470.0,1.104864
3475.0,1.105126
3480.0,1.105334
3485.0,1.105430
3490.0,1.105354
3495.0,1.105047
3500.0,1.104452
3505.0,1.103528
3510.0,1.100899
3515.0,1.096048
3520.0,1.091160
3525.0,1.086421
3530.0,1.096944
3535.0,1.112203
3540.0,1.117525
3545.0,1.115574
3550.0,1.108882
3555.0,1.082365
3560.0,1.075681
3565.0,1.081668
3570.0,1.094899
3575.0,1.082837
3580.0,1.065885
3585.0,1.057925
3590.0,1.071306
3595.0,1.077634
3600.0,1.089513
3605.0,1.063740
3610.0,1.078043
3615.0,1.084668
3620.0,1.060783
3625.0,1.072939
3630.0,1.092874
3635.0,1.119060
3640.0,1.076820
3645.0,1.056020
3650.0,1.068774
3655.0,1.084894
3660.0,1.035443
3665.0,1.025720
3670.0,1.063044
3675.0,1.065462
3680.0,1.063889
3685.0,1.140864
3690.0,1.236105
3695.0,1.269897
3700.0,1.335603
3705.0,1.399252
3710.0,1.466058
3715.0,1.614566
3720.0,1.581092
3725.0,1.779515
3730.0,1.825126
3735.0,1.660641
3740.0,2.131707
3745.0,1.940059
3750.0,1.547469
3755.0,1.983005
3760.0,2.194938
3765.0,1.927542
3770.0,1.574764
3775.0,2.025903
3780.0,2.471670
3785.0,2.486114
3790.0,2.269108
3795.0,1.704101
3800.0,1.819406
3805.0,2.414028
3810.0,2.600538
3815.0,2.578901
3820.0,2.568542
3825.0,2.459197
3830.0,1.972068
3835.0,1.590402
