wavelength_angstrom,normalized_flux
3500.0,0.703060
3505.0,0.707091
3510.0,0.711340
3515.0,0.715774
3520.0,0.718536
3525.0,0.718690
3530.0,0.720822
3535.0,0.728834
3540.0,0.738383
3545.0,0.743958
3550.0,0.743614
3555.0,0.748155
3560.0,0.732717
3565.0,0.715044
3570.0,0.706238
3575.0,0.720341
3580.0,0.711868
3585.0,0.702899
3590.0,0.714773
3595.0,0.740366
3600.0,0.736644
3605.0,0.719487
3610.0,0.734367
3615.0,0.722845
3620.0,0.727543
3625.0,0.760214
3630.0,0.766988
3635.0,0.773276
3640.0,0.766523
3645.0,0.752414
3650.0,0.752659
3655.0,0.777257
3660.0,0.787016
3665.0,0.791661
3670.0,0.795639
3675.0,0.790046
3680.0,0.781406
3685.0,0.779312
3690.0,0.786697
3695.0,0.774531
3700.0,0.788026
3705.0,0.770443
3710.0,0.791413
3715.0,0.837548
3720.0,0.829501
3725.0,0.868275
3730.0,0.886229
3735.0,0.821742
3740.0,0.943994
3745.0,0.932475
3750.0,0.859075
3755.0,1.030762
3760.0,1.124718
3765.0,1.050091
3770.0,0.915674
3775.0,1.086725
3780.0,1.343383
3785.0,1.383307
3790.0,1.235686
3795.0,0.989454
3800.0,0.992228
3805.0,1.259302
3810.0,1.449170
3815.0,1.504849
3820.0,1.497401
3825.0,1.351986
3830.0,1.098432
3835.0,0.924558
3840.0,1.160705
3845.0,1.473378
3850.0,1.648823
3855.0,1.745990
3860.0,1.824813
3865.0,1.882723
3870.0,1.815910
3875.0,1.641375
3880.0,1.423672
3885.0,1.113214
3890.0,0.994775
3895.0,1.247030
3900.0,1.493909
3905.0,1.681947
3910.0,1.851618
3915.0,1.898150
3920.0,1.895200
3925.0,1.821252
3930.0,1.449227
3935.0,1.399514
3940.0,1.764507
3945.0,1.836023
3950.0,1.770453
3955.0,1.609942
3960.0,1.362005
3965.0,0.975463
3970.0,0.854487
3975.0,1.173087
3980.0,1.460023
3985.0,1.638019
3990.0,1.787081
3995.0,1.879975
4000.0,1.923907
4005.0,1.934612
4010.0,1.972015
4015.0,2.010712
4020.0,2.034989
4025.0,2.009475
4030.0,1.989225
4035.0,2.002901
4040.0,2.022012
4045.0,1.990518
4050.0,2.011727
4055.0,1.985016
4060.0,1.927083
4065.0,1.879596
4070.0,1.834253
4075.0,1.763525
4080.0,1.708787
4085.0,1.620472
4090.0,1.457553
4095.0,1.187034
4100.0,0.942102
4105.0,1.067371
4110.0,1.336968
4115.0,1.520460
4120.0,1.648090
4125.0,1.713694
4130.0,1.763511
4135.0,1.827951
4140.0,1.867337
4145.0,1.874365
4150.0,1.882913
4155.0,1.846735
4160.0,1.868352
4165.0,1.896084
4170.0,1.865373
4175.0,1.826388
4180.0,1.832668
4185.0,1.853942
4190.0,1.874332
4195.0,1.852948
4200.0,1.818524
4205.0,1.850040
4210.0,1.855378
4215.0,1.837569
4220.0,1.821018
4225.0,1.770562
4230.0,1.781030
4235.0,1.788360
4240.0,1.798473
4245.0,1.770734
4250.0,1.749433
4255.0,1.772878
4260.0,1.788941
4265.0,1.805159
4270.0,1.760168
4275.0,1.750431
4280.0,1.791339
4285.0,1.758116
4290.0,1.717994
4295.0,1.686703
4300.0,1.627077
4305.0,1.607654
4310.0,1.585498
4315.0,1.553586
4320.0,1.514771
4325.0,1.424621
4330.0,1.288781
4335.0,1.061049
4340.0,0.860435
4345.0,0.989333
4350.0,1.188723
4355.0,1.340277
4360.0,1.477284
4365.0,1.549220
4370.0,1.574260
4375.0,1.610295
4380.0,1.627641
4385.0,1.606036
4390.0,1.645384
4395.0,1.646491
4400.0,1.634255
4405.0,1.635607
4410.0,1.649515
4415.0,1.620619
4420.0,1.630793
4425.0,1.639211
4430.0,1.637794
4435.0,1.647020
4440.0,1.647714
4445.0,1.625704
4450.0,1.635208
4455.0,1.621848
4460.0,1.632115
4465.0,1.617414
4470.0,1.610367
4475.0,1.608955
4480.0,1.548678
4485.0,1.557270
4490.0,1.574079
4495.0,1.597045
4500.0,1.591182
4505.0,1.607551
4510.0,1.620242
4515.0,1.601874
4520.0,1.568501
4525.0,1.556972
4530.0,1.540510
4535.0,1.561820
4540.0,1.575664
4545.0,1.564658
4550.0,1.516588
4555.0,1.521982
4560.0,1.535717
4565.0,1.538776
4570.0,1.542100
4575.0,1.537739
4580.0,1.515071
4585.0,1.508062
4590.0,1.524309
4595.0,1.526980
4600.0,1.533995
4605.0,1.535977
4610.0,1.532485
4615.0,1.515598
4620.0,1.509622
4625.0,1.511925
4630.0,1.488963
4635.0,1.491107
4640.0,1.511149
4645.0,1.498264
4650.0,1.486630
4655.0,1.491126
4660.0,1.490156
4665.0,1.468532
4670.0,1.470935
4675.0,1.484875
4680.0,1.481776
4685.0,1.495405
4690.0,1.475877
4695.0,1.471663
4700.0,1.443183
4705.0,1.434273
4710.0,1.446363
4715.0,1.434207
4720.0,1.432466
4725.0,1.435223
4730.0,1.417707
4735.0,1.402517
4740.0,1.399155
4745.0,1.413026
4750.0,1.416623
4755.0,1.405581
4760.0,1.391040
4765.0,1.378525
4770.0,1.379101
4775.0,1.384816
4780.0,1.377140
4785.0,1.363034
4790.0,1.356831
4795.0,1.358875
4800.0,1.335389
4805.0,1.355364
4810.0,1.339227
4815.0,1.318479
4820.0,1.307000
4825.0,1.282208
4830.0,1.273696
4835.0,1.257907
4840.0,1.210374
4845.0,1.122519
4850.0,0.998284
4855.0,0.856546
4860.0,0.730202
4865.0,0.757289
4870.0,0.868901
4875.0,0.984595
4880.0,1.090714
4885.0,1.167063
4890.0,1.208373
4895.0,1.241638
4900.0,1.280858
4905.0,1.311447
4910.0,1.306141
4915.0,1.294255
4920.0,1.267041
4925.0,1.277287
4930.0,1.306125
4935.0,1.299915
4940.0,1.315171
4945.0,1.333473
4950.0,1.328196
4955.0,1.299736
4960.0,1.279901
4965.0,1.298314
4970.0,1.303382
4975.0,1.308027
4980.0,1.295714
4985.0,1.289662
4990.0,1.293547
4995.0,1.278683
5000.0,1.279056
5005.0,1.267196
5010.0,1.257689
5015.0,1.247830
5020.0,1.229221
5025.0,1.245324
5030.0,1.248976
5035.0,1.254581
5040.0,1.244249
5045.0,1.237003
5050.0,1.234990
5055.0,1.234663
5060.0,1.255445
5065.0,1.260818
5070.0,1.260425
5075.0,1.255062
5080.0,1.250396
5085.0,1.244905
5090.0,1.235537
5095.0,1.229834
5100.0,1.228711
5105.0,1.227339
5110.0,1.225474
5115.0,1.226436
5120.0,1.229517
5125.0,1.224301
5130.0,1.214718
5135.0,1.215132
5140.0,1.205850
5145.0,1.210114
5150.0,1.212837
5155.0,1.209088
5160.0,1.192156
5165.0,1.159366
5170.0,1.131923
5175.0,1.144526
5180.0,1.145599
5185.0,1.137533
5190.0,1.145820
5195.0,1.144893
5200.0,1.151613
5205.0,1.143806
5210.0,1.149630
5215.0,1.158361
5220.0,1.156814
5225.0,1.140306
5230.0,1.119511
5235.0,1.125320
5240.0,1.136631
5245.0,1.149285
5250.0,1.146057
5255.0,1.134036
5260.0,1.118339
5265.0,1.087572
5270.0,1.073303
5275.0,1.081827
5280.0,1.099681
5285.0,1.116346
5290.0,1.125022
5295.0,1.125745
5300.0,1.112418
5305.0,1.100752
5310.0,1.093653
5315.0,1.085186
5320.0,1.090034
5325.0,1.090728
5330.0,1.088114
5335.0,1.086746
5340.0,1.080667
5345.0,1.091059
5350.0,1.085871
5355.0,1.085141
5360.0,1.075588
5365.0,1.060699
5370.0,1.060756
5375.0,1.070215
5380.0,1.076001
5385.0,1.072604
5390.0,1.071891
5395.0,1.072043
5400.0,1.065391
5405.0,1.059464
5410.0,1.064296
5415.0,1.072664
5420.0,1.070007
5425.0,1.064134
5430.0,1.061049
5435.0,1.061281
5440.0,1.054807
5445.0,1.040793
5450.0,1.048118
5455.0,1.047760
5460.0,1.050138
5465.0,1.037900
5470.0,1.026730
5475.0,1.027466
5480.0,1.029181
5485.0,1.038109
5490.0,1.039850
5495.0,1.035936
5500.0,1.029904
