wavelength_angstrom,normalized_flux
3000.0,3.883242
3005.0,3.848028
3010.0,3.883861
3015.0,3.841807
3020.0,3.884883
3025.0,3.863974
3030.0,3.778191
3035.0,3.810368
3040.0,3.825976
3045.0,3.757446
3050.0,3.672014
3055.0,3.798032
3060.0,3.757275
3065.0,3.662907
3070.0,3.691962
3075.0,3.723125
3080.0,3.745860
3085.0,3.792079
3090.0,3.783755
3095.0,3.734993
3100.0,3.689901
3105.0,3.657701
3110.0,3.691402
3115.0,3.705824
3120.0,3.637760
3125.0,3.686941
3130.0,3.683288
3135.0,3.641975
3140.0,3.742207
3145.0,3.753168
3150.0,3.757764
3155.0,3.844793
3160.0,3.558997
3165.0,3.559133
3170.0,3.557188
3175.0,3.605976
3180.0,3.558493
3185.0,3.547159
3190.0,3.624567
3195.0,3.595218
3200.0,3.523189
3205.0,3.555586
3210.0,3.601595
3215.0,3.551647
3220.0,3.459619
3225.0,3.405691
3230.0,3.411808
3235.0,3.470579
3240.0,3.515513
3245.0,3.487851
3250.0,3.418879
3255.0,3.357102
3260.0,3.329848
3265.0,3.342209
3270.0,3.331487
3275.0,3.248718
3280.0,3.167649
3285.0,3.166752
3290.0,3.220675
3295.0,3.280611
3300.0,3.307737
3305.0,3.280600
3310.0,3.237228
3315.0,3.217396
3320.0,3.208396
3325.0,3.192417
3330.0,3.183697
3335.0,3.197549
3340.0,3.221526
3345.0,3.237863
3350.0,3.235273
3355.0,3.205940
3360.0,3.149437
3365.0,3.074926
3370.0,3.022542
3375.0,3.023015
3380.0,3.038485
3385.0,3.026634
3390.0,2.995898
3395.0,2.967511
3400.0,2.963148
3405.0,2.991642
3410.0,3.010023
3415.0,2.980762
3420.0,2.939889
3425.0,2.926061
3430.0,2.914865
3435.0,2.881261
3440.0,2.860756
3445.0,2.886510
3450.0,2.921715
3455.0,2.926562
3460.0,2.919195
3465.0,2.921661
3470.0,2.913663
3475.0,2.874061
3480.0,2.820668
3485.0,2.781139
3490.0,2.783515
3495.0,2.837998
3500.0,2.883047
3505.0,2.863516
3510.0,2.757059
3515.0,2.748742
3520.0,2.779916
3525.0,2.784152
3530.0,2.739195
3535.0,2.730482
3540.0,2.724216
3545.0,2.703648
3550.0,2.695329
3555.0,2.683712
3560.0,2.664487
3565.0,2.652861
3570.0,2.687845
3575.0,2.639409
3580.0,2.587491
3585.0,2.583165
3590.0,2.602455
3595.0,2.590554
3600.0,2.592574
3605.0,2.595267
3610.0,2.571366
3615.0,2.548405
3620.0,2.564738
3625.0,2.526481
3630.0,2.528747
3635.0,2.529989
3640.0,2.560751
3645.0,2.541178
3650.0,2.538930
3655.0,2.566134
3660.0,2.546025
3665.0,2.502843
3670.0,2.515307
3675.0,2.538917
3680.0,2.467147
3685.0,2.430134
3690.0,2.456603
3695.0,2.456588
3700.0,2.377358
3705.0,2.393397
3710.0,2.455635
3715.0,2.495369
3720.0,2.458720
3725.0,2.548656
3730.0,2.554402
3735.0,2.423799
3740.0,2.720370
3745.0,2.687534
3750.0,2.401453
3755.0,2.652512
3760.0,2.858646
3765.0,2.658339
3770.0,2.334059
3775.0,2.651189
3780.0,2.988145
3785.0,2.959860
3790.0,2.827204
3795.0,2.444964
3800.0,2.450362
3805.0,2.825847
3810.0,3.066952
3815.0,2.954015
3820.0,2.830239
3825.0,2.911325
3830.0,2.656319
3835.0,2.318177
3840.0,2.659980
3845.0,2.995733
3850.0,3.096476
3855.0,3.083369
3860.0,3.082289
3865.0,3.005562
3870.0,2.935829
3875.0,2.918098
3880.0,2.808776
3885.0,2.442151
3890.0,2.306707
3895.0,2.752705
3900.0,3.011585
3905.0,3.055196
3910.0,3.058499
3915.0,3.037191
3920.0,2.908789
3925.0,2.871533
3930.0,2.822129
3935.0,2.886467
3940.0,3.040572
3945.0,3.023123
3950.0,2.980866
3955.0,2.948567
3960.0,2.740984
3965.0,2.296398
3970.0,2.114710
3975.0,2.537950
3980.0,2.806859
3985.0,2.927320
3990.0,2.947963
3995.0,2.891155
4000.0,2.853216
4005.0,2.769987
4010.0,2.726719
4015.0,2.820708
4020.0,2.735549
4025.0,2.582159
4030.0,2.689947
4035.0,2.780781
4040.0,2.766972
4045.0,2.776786
4050.0,2.785887
4055.0,2.780759
4060.0,2.751585
4065.0,2.717621
4070.0,2.647274
4075.0,2.627695
4080.0,2.680440
4085.0,2.649041
4090.0,2.563541
4095.0,2.345188
4100.0,2.001120
4105.0,2.167266
4110.0,2.474746
4115.0,2.542490
4120.0,2.541908
4125.0,2.579280
4130.0,2.576864
4135.0,2.593753
4140.0,2.505604
4145.0,2.486892
4150.0,2.605654
4155.0,2.629525
4160.0,2.575760
4165.0,2.569258
4170.0,2.568500
4175.0,2.585694
4180.0,2.583915
4185.0,2.554150
4190.0,2.579059
4195.0,2.604244
4200.0,2.574741
4205.0,2.560311
4210.0,2.570081
4215.0,2.559505
4220.0,2.547577
4225.0,2.557454
4230.0,2.505427
4235.0,2.491708
4240.0,2.497187
4245.0,2.490627
4250.0,2.467491
4255.0,2.449945
4260.0,2.429024
4265.0,2.377740
4270.0,2.366338
4275.0,2.386267
4280.0,2.407043
4285.0,2.405859
4290.0,2.404894
4295.0,2.385698
4300.0,2.391264
4305.0,2.384015
4310.0,2.371129
4315.0,2.344451
4320.0,2.317547
4325.0,2.326941
4330.0,2.248941
4335.0,2.013153
4340.0,1.732199
4345.0,1.889142
4350.0,2.121726
4355.0,2.251484
4360.0,2.278582
4365.0,2.286898
4370.0,2.278068
4375.0,2.258781
4380.0,2.240132
4385.0,2.147502
4390.0,2.139359
4395.0,2.237598
4400.0,2.241699
4405.0,2.215109
4410.0,2.193819
4415.0,2.123239
4420.0,2.094060
4425.0,2.086516
4430.0,2.043902
4435.0,2.035744
4440.0,2.107442
4445.0,2.153115
4450.0,2.142779
4455.0,2.125452
4460.0,2.120118
4465.0,2.059422
4470.0,1.904662
4475.0,1.978272
4480.0,2.030097
4485.0,2.066006
4490.0,2.082504
4495.0,2.065506
4500.0,2.058454
4505.0,2.077410
4510.0,2.069787
4515.0,2.060943
4520.0,2.053581
4525.0,2.044743
4530.0,2.018636
4535.0,2.037304
4540.0,2.021484
4545.0,1.987065
4550.0,1.961368
4555.0,1.974211
4560.0,1.989808
4565.0,1.943666
4570.0,1.925263
4575.0,1.933788
4580.0,1.952712
4585.0,1.930918
4590.0,1.914669
4595.0,1.911073
4600.0,1.930908
4605.0,1.915904
4610.0,1.895261
4615.0,1.895841
4620.0,1.908530
4625.0,1.910056
4630.0,1.884979
4635.0,1.867410
4640.0,1.844544
4645.0,1.851801
4650.0,1.842239
4655.0,1.865952
4660.0,1.853506
4665.0,1.851107
4670.0,1.860547
4675.0,1.828813
4680.0,1.845825
4685.0,1.864404
4690.0,1.839742
4695.0,1.815425
4700.0,1.801838
4705.0,1.796528
4710.0,1.746102
4715.0,1.711246
4720.0,1.732943
4725.0,1.741886
4730.0,1.767701
4735.0,1.756442
4740.0,1.756218
4745.0,1.742233
4750.0,1.723360
4755.0,1.696301
4760.0,1.679141
4765.0,1.688828
4770.0,1.689710
4775.0,1.669785
4780.0,1.684379
4785.0,1.686538
4790.0,1.683068
4795.0,1.685846
4800.0,1.660223
4805.0,1.652179
4810.0,1.646644
4815.0,1.617870
4820.0,1.615679
4825.0,1.630429
4830.0,1.622415
4835.0,1.625453
4840.0,1.611852
4845.0,1.594424
4850.0,1.548086
4855.0,1.395086
4860.0,1.237580
4865.0,1.345055
4870.0,1.476586
4875.0,1.492647
4880.0,1.494792
4885.0,1.499840
4890.0,1.526695
4895.0,1.540986
4900.0,1.542873
4905.0,1.533320
4910.0,1.525906
4915.0,1.490835
4920.0,1.419784
4925.0,1.446840
4930.0,1.528712
4935.0,1.541605
4940.0,1.533008
4945.0,1.523476
4950.0,1.524800
4955.0,1.527837
4960.0,1.518710
4965.0,1.497885
4970.0,1.470916
4975.0,1.474206
4980.0,1.480187
4985.0,1.482756
4990.0,1.472673
4995.0,1.466383
5000.0,1.443512
5005.0,1.422371
5010.0,1.391642
5015.0,1.340608
5020.0,1.410064
5025.0,1.411122
5030.0,1.398496
5035.0,1.393915
5040.0,1.401318
5045.0,1.393166
5050.0,1.391146
5055.0,1.399740
5060.0,1.387430
5065.0,1.385469
5070.0,1.386953
5075.0,1.392967
5080.0,1.381877
5085.0,1.369588
5090.0,1.369346
5095.0,1.358858
5100.0,1.336883
5105.0,1.336910
5110.0,1.345506
5115.0,1.345612
5120.0,1.328735
5125.0,1.327237
5130.0,1.319929
5135.0,1.322251
5140.0,1.326109
5145.0,1.317203
5150.0,1.304608
5155.0,1.283771
5160.0,1.299122
5165.0,1.304848
5170.0,1.300548
5175.0,1.307753
5180.0,1.299791
5185.0,1.286827
5190.0,1.278971
5195.0,1.276330
5200.0,1.261542
5205.0,1.247798
5210.0,1.255926
5215.0,1.262811
5220.0,1.266595
5225.0,1.252707
5230.0,1.232986
5235.0,1.240237
5240.0,1.233881
5245.0,1.228020
5250.0,1.226026
5255.0,1.225579
5260.0,1.222437
5265.0,1.203035
5270.0,1.197519
5275.0,1.195583
5280.0,1.197974
5285.0,1.195728
5290.0,1.187390
5295.0,1.193822
5300.0,1.195427
5305.0,1.187371
5310.0,1.169311
5315.0,1.166483
5320.0,1.167912
5325.0,1.168251
5330.0,1.154216
5335.0,1.150269
5340.0,1.147517
5345.0,1.150632
5350.0,1.151405
5355.0,1.155670
5360.0,1.145287
5365.0,1.131880
5370.0,1.139737
5375.0,1.137165
5380.0,1.123998
5385.0,1.120494
5390.0,1.130330
5395.0,1.118914
5400.0,1.108796
5405.0,1.104542
5410.0,1.102556
5415.0,1.102675
5420.0,1.097297
5425.0,1.094826
5430.0,1.088889
5435.0,1.079694
5440.0,1.077022
5445.0,1.053701
5450.0,1.043085
5455.0,1.040258
5460.0,1.049392
5465.0,1.058663
5470.0,1.055583
5475.0,1.057418
5480.0,1.043867
5485.0,1.030459
5490.0,1.021114
5495.0,1.024654
5500.0,1.044372
5505.0,1.034284
5510.0,1.020129
5515.0,1.028670
5520.0,1.023403
5525.0,1.008438
5530.0,1.001046
5535.0,0.997294
5540.0,0.995139
5545.0,1.001954
5550.0,1.010910
5555.0,1.005413
5560.0,0.997148
5565.0,0.992899
5570.0,0.991275
5575.0,0.989399
5580.0,0.989729
5585.0,0.990091
5590.0,0.994357
5595.0,0.987106
5600.0,0.975871
5605.0,0.959455
5610.0,0.956602
5615.0,0.961068
5620.0,0.959846
5625.0,0.958587
5630.0,0.959765
5635.0,0.948699
5640.0,0.939981
5645.0,0.936343
5650.0,0.931991
5655.0,0.932742
5660.0,0.920905
5665.0,0.911200
5670.0,0.917888
5675.0,0.913560
5680.0,0.909466
5685.0,0.914242
5690.0,0.907892
5695.0,0.891278
5700.0,0.886662
5705.0,0.889839
5710.0,0.892414
5715.0,0.897359
5720.0,0.883626
5725.0,0.875282
5730.0,0.875272
5735.0,0.869077
5740.0,0.857463
5745.0,0.861907
5750.0,0.875405
5755.0,0.871101
5760.0,0.865645
5765.0,0.862557
5770.0,0.848694
5775.0,0.834991
5780.0,0.809076
5785.0,0.826903
