wavelength_angstrom,normalized_flux
3000.0,3.319261
3005.0,3.319336
3010.0,3.317982
3015.0,3.327518
3020.0,3.324907
3025.0,3.249911
3030.0,3.187625
3035.0,3.260355
3040.0,3.298751
3045.0,3.262203
3050.0,3.230961
3055.0,3.258126
3060.0,3.267089
3065.0,3.228152
3070.0,3.248388
3075.0,3.329847
3080.0,3.413193
3085.0,3.337351
3090.0,3.359126
3095.0,3.352183
3100.0,3.354848
3105.0,3.339996
3110.0,3.336180
3115.0,3.321299
3120.0,3.274796
3125.0,3.296606
3130.0,3.257188
3135.0,3.235671
3140.0,3.155865
3145.0,3.198372
3150.0,3.244311
3155.0,3.221735
3160.0,3.192309
3165.0,3.239795
3170.0,3.243083
3175.0,3.107880
3180.0,3.013476
3185.0,3.049914
3190.0,3.211812
3195.0,3.136379
3200.0,3.092783
3205.0,3.083496
3210.0,3.074362
3215.0,3.065238
3220.0,3.055983
3225.0,3.046452
3230.0,3.036505
3235.0,3.025997
3240.0,3.014787
3245.0,3.002733
3250.0,2.989691
3255.0,2.975580
3260.0,2.960566
3265.0,2.944874
3270.0,2.928730
3275.0,2.912361
3280.0,2.895993
3285.0,2.879852
3290.0,2.864164
3295.0,2.849155
3300.0,2.835052
3305.0,2.822018
3310.0,2.809973
3315.0,2.798772
3320.0,2.788272
3325.0,2.778330
3330.0,2.768802
3335.0,2.759544
3340.0,2.750413
3345.0,2.741266
3350.0,2.731959
3355.0,2.722378
3360.0,2.712533
3365.0,2.702461
3370.0,2.692202
3375.0,2.681793
3380.0,2.671275
3385.0,2.660684
3390.0,2.650060
3395.0,2.639441
3400.0,2.628866
3405.0,2.618365
3410.0,2.607937
3415.0,2.597568
3420.0,2.587250
3425.0,2.576970
3430.0,2.566719
3435.0,2.556484
3440.0,2.546256
3445.0,2.536022
3450.0,2.525773
3455.0,2.515500
3460.0,2.505206
3465.0,2.494895
3470.0,2.484572
3475.0,2.474243
3480.0,2.463913
3485.0,2.453587
3490.0,2.443269
3495.0,2.432965
3500.0,2.422680
3505.0,2.412417
3510.0,2.402169
3515.0,2.391925
3520.0,2.381678
3525.0,2.371417
3530.0,2.361134
3535.0,2.350819
3540.0,2.340462
3545.0,2.330055
3550.0,2.319588
3555.0,2.309058
3560.0,2.298491
3565.0,2.287920
3570.0,2.277376
3575.0,2.266891
3580.0,2.256499
3585.0,2.246231
3590.0,2.236120
3595.0,2.226197
3600.0,2.216495
3605.0,2.207052
3610.0,2.197928
3615.0,2.189189
3620.0,2.180901
3625.0,2.173130
3630.0,2.165941
3635.0,2.159401
3640.0,2.153575
3645.0,2.148529
3650.0,2.144330
3655.0,2.141095
3660.0,2.139158
3665.0,2.138901
3670.0,2.140711
3675.0,2.144971
3680.0,2.152066
3685.0,2.162382
3690.0,2.176302
3695.0,2.194211
3700.0,2.216495
3705.0,2.243319
3710.0,2.273977
3715.0,2.307546
3720.0,2.343101
3725.0,2.379718
3730.0,2.416473
3735.0,2.452442
3740.0,2.486701
3745.0,2.518326
3750.0,2.546392
3755.0,2.570207
3760.0,2.590007
3765.0,2.606256
3770.0,2.619422
3775.0,2.629972
3780.0,2.638371
3785.0,2.645087
3790.0,2.650585
3795.0,2.655331
3800.0,2.659794
3805.0,2.664337
3810.0,2.668925
3815.0,2.673419
3820.0,2.677683
3825.0,2.681579
3830.0,2.684969
3835.0,2.687716
3840.0,2.689682
3845.0,2.690730
3850.0,2.690722
3855.0,2.689557
3860.0,2.687284
3865.0,2.683984
3870.0,2.679742
3875.0,2.674640
3880.0,2.668763
3885.0,2.662195
3890.0,2.655019
3895.0,2.647317
3900.0,2.639175
3905.0,2.630701
3910.0,2.622106
3915.0,2.613625
3920.0,2.605496
3925.0,2.597954
3930.0,2.591235
3935.0,2.585576
3940.0,2.581213
3945.0,2.578382
3950.0,2.577320
3955.0,2.578174
3960.0,2.580748
3965.0,2.584753
3970.0,2.589905
3975.0,2.595916
3980.0,2.602502
3985.0,2.609376
3990.0,2.616252
3995.0,2.622844
4000.0,2.628866
4005.0,2.634014
4010.0,2.637915
4015.0,2.640178
4020.0,2.640412
4025.0,2.638226
4030.0,2.633230
4035.0,2.625032
4040.0,2.613242
4045.0,2.597468
4050.0,2.577320
4055.0,2.552677
4060.0,2.524500
4065.0,2.494020
4070.0,2.462468
4075.0,2.431075
4080.0,2.401072
4085.0,2.373691
4090.0,2.350163
4095.0,2.331718
4100.0,2.319588
4105.0,2.314599
4110.0,2.315964
4115.0,2.322486
4120.0,2.332976
4125.0,2.346238
4130.0,2.361079
4135.0,2.376306
4140.0,2.390726
4145.0,2.403146
4150.0,2.412371
4155.0,2.417494
4160.0,2.418741
4165.0,2.416622
4170.0,2.411650
4175.0,2.404336
4180.0,2.395190
4185.0,2.384724
4190.0,2.373449
4195.0,2.361875
4200.0,2.350515
4205.0,2.339786
4210.0,2.329735
4215.0,2.320313
4220.0,2.311475
4225.0,2.303171
4230.0,2.295357
4235.0,2.287983
4240.0,2.281005
4245.0,2.274373
4250.0,2.268041
4255.0,2.261916
4260.0,2.255722
4265.0,2.249135
4270.0,2.241833
4275.0,2.233494
4280.0,2.223795
4285.0,2.212414
4290.0,2.199027
4295.0,2.183313
