wavelength_angstrom,normalized_flux
3000.0,0.420041
3005.0,0.421898
3010.0,0.423802
3015.0,0.425751
3020.0,0.427739
3025.0,0.429763
3030.0,0.431819
3035.0,0.433903
3040.0,0.436011
3045.0,0.438139
3050.0,0.440283
3055.0,0.442444
3060.0,0.444635
3065.0,0.446877
3070.0,0.449189
3075.0,0.451589
3080.0,0.454097
3085.0,0.456732
3090.0,0.459512
3095.0,0.462458
3100.0,0.465587
3105.0,0.468910
3110.0,0.472393
3115.0,0.475996
3120.0,0.479675
3125.0,0.483390
3130.0,0.487097
3135.0,0.490755
3140.0,0.494321
3145.0,0.497754
3150.0,0.501012
3155.0,0.504064
3160.0,0.506926
3165.0,0.509625
3170.0,0.512191
3175.0,0.514650
3180.0,0.517030
3185.0,0.519359
3190.0,0.521664
3195.0,0.523974
3200.0,0.526316
3205.0,0.528712
3210.0,0.531159
3215.0,0.533650
3220.0,0.536176
3225.0,0.538730
3230.0,0.541302
3235.0,0.543886
3240.0,0.546472
3245.0,0.549052
3250.0,0.551619
3255.0,0.554167
3260.0,0.556698
3265.0,0.559216
3270.0,0.561728
3275.0,0.564237
3280.0,0.566749
3285.0,0.569269
3290.0,0.571801
3295.0,0.574351
3300.0,0.576923
3305.0,0.579520
3310.0,0.582132
3315.0,0.584749
3320.0,0.587358
3325.0,0.589950
3330.0,0.592511
3335.0,0.595030
3340.0,0.597497
3345.0,0.599900
3350.0,0.602227
3355.0,0.604468
3360.0,0.606620
3365.0,0.608683
3370.0,0.610652
3375.0,0.612529
3380.0,0.614309
3385.0,0.615993
3390.0,0.617578
3395.0,0.619063
3400.0,0.620445
3405.0,0.621723
3410.0,0.622884
3415.0,0.623917
3420.0,0.624810
3425.0,0.625549
3430.0,0.626123
3435.0,0.626519
3440.0,0.626725
3445.0,0.626729
3450.0,0.626518
3455.0,0.626098
3460.0,0.625544
3465.0,0.624950
3470.0,0.624409
3475.0,0.624016
3480.0,0.623863
3485.0,0.624045
3490.0,0.624654
3495.0,0.625785
3500.0,0.627530
3505.0,0.629939
3510.0,0.653083
3515.0,0.640214
3520.0,0.634756
3525.0,0.656842
3530.0,0.656258
3535.0,0.656358
3540.0,0.665535
3545.0,0.724897
3550.0,0.763893
3555.0,0.709246
3560.0,0.663230
3565.0,0.642123
3570.0,0.622228
3575.0,0.669104
3580.0,0.638223
3585.0,0.607718
3590.0,0.687591
3595.0,0.692064
3600.0,0.682229
3605.0,0.650030
3610.0,0.636584
3615.0,0.664292
3620.0,0.700110
3625.0,0.741351
3630.0,0.694693
3635.0,0.690142
3640.0,0.720035
3645.0,0.675567
3650.0,0.702963
3655.0,0.755914
3660.0,0.803198
3665.0,0.786722
3670.0,0.758210
3675.0,0.737096
3680.0,0.741284
3685.0,0.709594
3690.0,0.716595
3695.0,0.736793
3700.0,0.766598
3705.0,0.701630
3710.0,0.759539
3715.0,0.816093
3720.0,0.786584
3725.0,0.794107
3730.0,0.785212
3735.0,0.737203
3740.0,0.793379
3745.0,0.776086
3750.0,0.726710
3755.0,0.850163
3760.0,0.877844
3765.0,0.829511
3770.0,0.806451
3775.0,0.933629
3780.0,1.107247
3785.0,1.043760
3790.0,0.921092
3795.0,0.789295
3800.0,0.845381
3805.0,1.059587
3810.0,1.188169
3815.0,1.067723
3820.0,1.025872
3825.0,0.933169
3830.0,0.801572
3835.0,0.691790
3840.0,0.827145
3845.0,1.016411
3850.0,1.149036
3855.0,1.188501
3860.0,1.169206
3865.0,1.212449
3870.0,1.170913
3875.0,1.105276
3880.0,1.057543
3885.0,0.867206
3890.0,0.794261
3895.0,0.944186
3900.0,1.024619
3905.0,1.109874
3910.0,1.181363
3915.0,1.157991
3920.0,1.099265
3925.0,0.958458
3930.0,0.641335
3935.0,0.542846
3940.0,0.822037
3945.0,1.010857
3950.0,1.082699
3955.0,1.043384
3960.0,0.925466
3965.0,0.691905
3970.0,0.608524
3975.0,0.891636
3980.0,1.099235
3985.0,1.172849
3990.0,1.224859
3995.0,1.243713
4000.0,1.246111
4005.0,1.230631
4010.0,1.231466
4015.0,1.273315
4020.0,1.291993
4025.0,1.300865
4030.0,1.266086
4035.0,1.270094
4040.0,1.286552
4045.0,1.242721
4050.0,1.237085
4055.0,1.192494
4060.0,1.215799
4065.0,1.238980
4070.0,1.253425
4075.0,1.199281
4080.0,1.174022
4085.0,1.173232
4090.0,1.172791
4095.0,1.050868
4100.0,0.855977
4105.0,0.926820
4110.0,1.097010
4115.0,1.192030
4120.0,1.230384
4125.0,1.224681
4130.0,1.212569
4135.0,1.237953
4140.0,1.279291
4145.0,1.263209
4150.0,1.291291
4155.0,1.300753
4160.0,1.325207
4165.0,1.352220
4170.0,1.254706
4175.0,1.204420
4180.0,1.221701
4185.0,1.208364
4190.0,1.253127
4195.0,1.233602
4200.0,1.221816
4205.0,1.251457
4210.0,1.276011
4215.0,1.258506
4220.0,1.221423
4225.0,1.160399
4230.0,1.232289
4235.0,1.241353
4240.0,1.245597
4245.0,1.229619
4250.0,1.228632
4255.0,1.257529
4260.0,1.223845
4265.0,1.242358
4270.0,1.195065
4275.0,1.253851
4280.0,1.263219
4285.0,1.222189
4290.0,1.172471
4295.0,1.143198
4300.0,1.083259
4305.0,1.086694
4310.0,1.130903
4315.0,1.187729
4320.0,1.199968
4325.0,1.127025
4330.0,1.106609
4335.0,0.987354
4340.0,0.804452
4345.0,0.947631
4350.0,1.100424
4355.0,1.185809
4360.0,1.257564
4365.0,1.294253
4370.0,1.280830
4375.0,1.278037
4380.0,1.260415
4385.0,1.179946
4390.0,1.220405
4395.0,1.239391
4400.0,1.246380
4405.0,1.256940
4410.0,1.263087
4415.0,1.271632
4420.0,1.287041
4425.0,1.268143
4430.0,1.217181
4435.0,1.238522
4440.0,1.263515
4445.0,1.220709
4450.0,1.233293
4455.0,1.202087
4460.0,1.217321
4465.0,1.224957
4470.0,1.231497
4475.0,1.272152
4480.0,1.240789
4485.0,1.242077
4490.0,1.233800
4495.0,1.277423
4500.0,1.312882
4505.0,1.325198
4510.0,1.314820
4515.0,1.268420
4520.0,1.289080
4525.0,1.279810
4530.0,1.213965
4535.0,1.227679
4540.0,1.232695
4545.0,1.214641
4550.0,1.186003
4555.0,1.221145
4560.0,1.275976
4565.0,1.298146
4570.0,1.293153
4575.0,1.285623
4580.0,1.261788
4585.0,1.213859
4590.0,1.208610
4595.0,1.193297
4600.0,1.229484
4605.0,1.294214
4610.0,1.299924
4615.0,1.297192
4620.0,1.303957
4625.0,1.284541
4630.0,1.280856
4635.0,1.238515
4640.0,1.241490
4645.0,1.253245
4650.0,1.249240
4655.0,1.268479
4660.0,1.275645
4665.0,1.232182
4670.0,1.196020
4675.0,1.213004
4680.0,1.233207
4685.0,1.268986
4690.0,1.250173
4695.0,1.215444
4700.0,1.181921
4705.0,1.180735
4710.0,1.203392
4715.0,1.223621
4720.0,1.254318
4725.0,1.252709
4730.0,1.207190
4735.0,1.162848
4740.0,1.194074
4745.0,1.217882
4750.0,1.210310
4755.0,1.175396
4760.0,1.183092
4765.0,1.154685
4770.0,1.153453
4775.0,1.172654
4780.0,1.180233
4785.0,1.132959
4790.0,1.132508
4795.0,1.169783
4800.0,1.183517
4805.0,1.179977
4810.0,1.220862
4815.0,1.204714
4820.0,1.192034
4825.0,1.193935
4830.0,1.166092
4835.0,1.149180
4840.0,1.139891
4845.0,1.124111
4850.0,1.080438
4855.0,1.037660
4860.0,0.889560
4865.0,0.755396
4870.0,0.878954
4875.0,0.993093
4880.0,1.073792
4885.0,1.099333
4890.0,1.091993
4895.0,1.128534
4900.0,1.149258
4905.0,1.149383
4910.0,1.171207
4915.0,1.160205
4920.0,1.148139
4925.0,1.083634
4930.0,1.110991
4935.0,1.137967
4940.0,1.125550
4945.0,1.143794
4950.0,1.172889
4955.0,1.176180
4960.0,1.158768
4965.0,1.160460
4970.0,1.161960
4975.0,1.137721
4980.0,1.159940
4985.0,1.124501
4990.0,1.074369
4995.0,1.102497
5000.0,1.071225
5005.0,1.060673
5010.0,1.080232
5015.0,1.105937
5020.0,1.063626
5025.0,1.087147
5030.0,1.113206
5035.0,1.105026
5040.0,1.092616
5045.0,1.058698
5050.0,1.071015
5055.0,1.066482
5060.0,1.085027
5065.0,1.115639
5070.0,1.093406
5075.0,1.082809
5080.0,1.054276
5085.0,1.065998
5090.0,1.106555
5095.0,1.113490
5100.0,1.095878
5105.0,1.087378
5110.0,1.093382
5115.0,1.078371
5120.0,1.100461
5125.0,1.100691
5130.0,1.068668
5135.0,1.081005
5140.0,1.076247
5145.0,1.053908
5150.0,1.074569
5155.0,1.068739
5160.0,1.090293
5165.0,1.085029
5170.0,1.000502
5175.0,0.957182
5180.0,1.014901
5185.0,1.020529
5190.0,1.006239
5195.0,1.013122
5200.0,1.018864
5205.0,1.050509
5210.0,1.026911
5215.0,1.036163
5220.0,1.047535
5225.0,1.083130
5230.0,1.025010
5235.0,1.030060
5240.0,1.058337
5245.0,1.064490
5250.0,1.074484
5255.0,1.086970
5260.0,1.085691
5265.0,1.018904
5270.0,0.949331
5275.0,0.969240
5280.0,1.013804
5285.0,1.031366
5290.0,1.057815
5295.0,1.082955
