wavelength_angstrom,normalized_flux
3000.0,0.241611
3005.0,0.243468
3010.0,0.246060
3015.0,0.249250
3020.0,0.252902
3025.0,0.256879
3030.0,0.261044
3035.0,0.265260
3040.0,0.269390
3045.0,0.273297
3050.0,0.276846
3055.0,0.279932
3060.0,0.282593
3065.0,0.284898
3070.0,0.286918
3075.0,0.288722
3080.0,0.290382
3085.0,0.291968
3090.0,0.293549
3095.0,0.295196
3100.0,0.296980
3105.0,0.298955
3110.0,0.301112
3115.0,0.303430
3120.0,0.305884
3125.0,0.308450
3130.0,0.311105
3135.0,0.313826
3140.0,0.316589
3145.0,0.319371
3150.0,0.322148
3155.0,0.324904
3160.0,0.327655
3165.0,0.330426
3170.0,0.333239
3175.0,0.336119
3180.0,0.339089
3185.0,0.342174
3190.0,0.345396
3195.0,0.348780
3200.0,0.352349
3205.0,0.356116
3210.0,0.360052
3215.0,0.364113
3220.0,0.368260
3225.0,0.372451
3230.0,0.376645
3235.0,0.380799
3240.0,0.384874
3245.0,0.388827
3250.0,0.392617
3255.0,0.396209
3260.0,0.399588
3265.0,0.402743
3270.0,0.405666
3275.0,0.408346
3280.0,0.410775
3285.0,0.412943
3290.0,0.414841
3295.0,0.416458
3300.0,0.417785
3305.0,0.418821
3310.0,0.419595
3315.0,0.420144
3320.0,0.420505
3325.0,0.420716
3330.0,0.420812
3335.0,0.420833
3340.0,0.420814
3345.0,0.420792
3350.0,0.420805
3355.0,0.420882
3360.0,0.421019
3365.0,0.421204
3370.0,0.421424
3375.0,0.421668
3380.0,0.421924
3385.0,0.422178
3390.0,0.422421
3395.0,0.332689
3400.0,0.469204
3405.0,0.476922
3410.0,0.396724
3415.0,0.394799
3420.0,0.445450
3425.0,0.483937
3430.0,0.481236
3435.0,0.432140
3440.0,0.390996
3445.0,0.404275
3450.0,0.427375
3455.0,0.414030
3460.0,0.402387
3465.0,0.430464
3470.0,0.451365
3475.0,0.420357
3480.0,0.386290
3485.0,0.400818
3490.0,0.433232
3495.0,0.443397
3500.0,0.435835
3505.0,0.425537
3510.0,0.433166
3515.0,0.444486
3520.0,0.454366
3525.0,0.444610
3530.0,0.459742
3535.0,0.462641
3540.0,0.482352
3545.0,0.479565
3550.0,0.458192
3555.0,0.440944
3560.0,0.421550
3565.0,0.383946
3570.0,0.365728
3575.0,0.365952
3580.0,0.332490
3585.0,0.326254
3590.0,0.391388
3595.0,0.471331
3600.0,0.489136
3605.0,0.447341
3610.0,0.423346
3615.0,0.430606
3620.0,0.453655
3625.0,0.499479
3630.0,0.496030
3635.0,0.503151
3640.0,0.526020
3645.0,0.529094
3650.0,0.550364
3655.0,0.611906
3660.0,0.643168
3665.0,0.628937
3670.0,0.617767
3675.0,0.586825
3680.0,0.561377
3685.0,0.557333
3690.0,0.579459
3695.0,0.645242
3700.0,0.659679
3705.0,0.601685
3710.0,0.592404
3715.0,0.584722
3720.0,0.540395
3725.0,0.533280
3730.0,0.510141
3735.0,0.474232
3740.0,0.487437
3745.0,0.459756
3750.0,0.476712
3755.0,0.538222
3760.0,0.542230
3765.0,0.541321
3770.0,0.570405
3775.0,0.636139
3780.0,0.673747
3785.0,0.649399
3790.0,0.542830
3795.0,0.501201
3800.0,0.525836
3805.0,0.569848
3810.0,0.547315
3815.0,0.491428
3820.0,0.436239
3825.0,0.377968
3830.0,0.359853
3835.0,0.347290
3840.0,0.386249
3845.0,0.434200
3850.0,0.445674
3855.0,0.437612
3860.0,0.438702
3865.0,0.443513
3870.0,0.437824
3875.0,0.497360
3880.0,0.479279
3885.0,0.497276
3890.0,0.547435
3895.0,0.610890
3900.0,0.647328
3905.0,0.693417
3910.0,0.728767
3915.0,0.721312
3920.0,0.638811
3925.0,0.501756
3930.0,0.356995
3935.0,0.366718
3940.0,0.496224
3945.0,0.620650
3950.0,0.701356
3955.0,0.697552
3960.0,0.579868
3965.0,0.406687
3970.0,0.389048
3975.0,0.580178
3980.0,0.767639
3985.0,0.849675
3990.0,0.879756
3995.0,0.896740
4000.0,0.918193
4005.0,0.921658
4010.0,0.946394
4015.0,0.979850
4020.0,0.994983
4025.0,0.971107
4030.0,0.927260
4035.0,0.913941
4040.0,0.921275
4045.0,0.884922
4050.0,0.882825
4055.0,0.851077
4060.0,0.838218
4065.0,0.858119
4070.0,0.879134
4075.0,0.902522
4080.0,0.923522
4085.0,0.937329
4090.0,0.933459
4095.0,0.850440
4100.0,0.780062
4105.0,0.830347
4110.0,0.908697
4115.0,0.938677
4120.0,0.954483
4125.0,0.932067
4130.0,0.884573
4135.0,0.901089
4140.0,0.930950
4145.0,0.884473
4150.0,0.872246
4155.0,0.875107
4160.0,0.906680
4165.0,0.903621
4170.0,0.864812
4175.0,0.840359
4180.0,0.851935
4185.0,0.876113
4190.0,0.887925
4195.0,0.857785
4200.0,0.848050
4205.0,0.895431
4210.0,0.962094
4215.0,0.943451
4220.0,0.935018
4225.0,0.881610
4230.0,0.900161
4235.0,0.907993
4240.0,0.926261
4245.0,0.931850
4250.0,0.915593
4255.0,0.910320
4260.0,0.905358
4265.0,0.908219
4270.0,0.868136
4275.0,0.882097
4280.0,0.903310
4285.0,0.880030
4290.0,0.841118
4295.0,0.787387
4300.0,0.708608
4305.0,0.674831
4310.0,0.728370
4315.0,0.887838
4320.0,0.955618
4325.0,0.934701
4330.0,0.943250
4335.0,0.888541
4340.0,0.826251
4345.0,0.887956
4350.0,0.935235
4355.0,0.977549
4360.0,1.047280
4365.0,1.055500
4370.0,1.019196
4375.0,0.961155
4380.0,0.913730
4385.0,0.881390
4390.0,0.911818
4395.0,0.953352
4400.0,0.965502
4405.0,0.966814
4410.0,1.002391
4415.0,1.018522
4420.0,1.039894
4425.0,1.040382
4430.0,1.028348
4435.0,1.027315
4440.0,1.049122
4445.0,1.072456
4450.0,1.063982
4455.0,0.995815
4460.0,0.968383
4465.0,1.008554
4470.0,1.060152
4475.0,1.092294
4480.0,1.080552
4485.0,1.088000
4490.0,1.083324
4495.0,1.091941
4500.0,1.121650
4505.0,1.152444
4510.0,1.145896
4515.0,1.125129
4520.0,1.095959
4525.0,1.032143
4530.0,0.998011
4535.0,1.041191
4540.0,1.072840
4545.0,1.054402
4550.0,1.042437
4555.0,1.074962
4560.0,1.104231
4565.0,1.104888
4570.0,1.108739
4575.0,1.101146
4580.0,1.061935
4585.0,1.064821
4590.0,1.073429
4595.0,1.058153
4600.0,1.058894
4605.0,1.090538
4610.0,1.117932
4615.0,1.118146
4620.0,1.124581
4625.0,1.120892
4630.0,1.111581
4635.0,1.085652
4640.0,1.062883
4645.0,1.033205
4650.0,1.041152
4655.0,1.069095
4660.0,1.074940
4665.0,1.016033
4670.0,1.006361
4675.0,1.044095
4680.0,1.050798
4685.0,1.060060
4690.0,1.054436
4695.0,1.043261
4700.0,1.017281
4705.0,1.011036
4710.0,1.027127
4715.0,1.071408
4720.0,1.110712
4725.0,1.082768
4730.0,1.043753
4735.0,1.059011
4740.0,1.092529
4745.0,1.112724
4750.0,1.097838
4755.0,1.080658
4760.0,1.070129
4765.0,1.052174
4770.0,1.079251
4775.0,1.122932
4780.0,1.127707
4785.0,1.100461
4790.0,1.103295
4795.0,1.123715
4800.0,1.116905
4805.0,1.099932
4810.0,1.100195
4815.0,1.122328
4820.0,1.124068
4825.0,1.102329
4830.0,1.091492
4835.0,1.083434
4840.0,1.069347
4845.0,1.071079
4850.0,1.044681
4855.0,0.943453
4860.0,0.846698
4865.0,0.887510
4870.0,0.952538
4875.0,1.007294
4880.0,1.045491
4885.0,1.012643
4890.0,1.000619
4895.0,1.069267
4900.0,1.102378
4905.0,1.090306
4910.0,1.055171
4915.0,1.023544
4920.0,0.986244
4925.0,1.036380
