wavelength_angstrom,normalized_flux
3500.0,0.547840
3505.0,0.562895
3510.0,0.609416
3515.0,0.582495
3520.0,0.572505
3525.0,0.557657
3530.0,0.597805
3535.0,0.630611
3540.0,0.642856
3545.0,0.644769
3550.0,0.638829
3555.0,0.628145
3560.0,0.625595
3565.0,0.576757
3570.0,0.521381
3575.0,0.529689
3580.0,0.506145
3585.0,0.473992
3590.0,0.528528
3595.0,0.613760
3600.0,0.644310
3605.0,0.597921
3610.0,0.568421
3615.0,0.584967
3620.0,0.568020
3625.0,0.607272
3630.0,0.623025
3635.0,0.596521
3640.0,0.618668
3645.0,0.621209
3650.0,0.622870
3655.0,0.685649
3660.0,0.718694
3665.0,0.716878
3670.0,0.705750
3675.0,0.706447
3680.0,0.680284
3685.0,0.669552
3690.0,0.691695
3695.0,0.712317
3700.0,0.718768
3705.0,0.692926
3710.0,0.679275
3715.0,0.716155
3720.0,0.670110
3725.0,0.644520
3730.0,0.637840
3735.0,0.574591
3740.0,0.594600
3745.0,0.610571
3750.0,0.597213
3755.0,0.672378
3760.0,0.679494
3765.0,0.676222
3770.0,0.693636
3775.0,0.762471
3780.0,0.828209
3785.0,0.833101
3790.0,0.766068
3795.0,0.702215
3800.0,0.685614
3805.0,0.762785
3810.0,0.791941
3815.0,0.741149
3820.0,0.674114
3825.0,0.600589
3830.0,0.529918
3835.0,0.503750
3840.0,0.551216
3845.0,0.653235
3850.0,0.724502
3855.0,0.737271
3860.0,0.724377
3865.0,0.755563
3870.0,0.741151
3875.0,0.733485
3880.0,0.705552
3885.0,0.659655
3890.0,0.647641
3895.0,0.713554
3900.0,0.760280
3905.0,0.724500
3910.0,0.792062
3915.0,0.815554
3920.0,0.758655
3925.0,0.647531
3930.0,0.478491
3935.0,0.402814
3940.0,0.509812
3945.0,0.637358
3950.0,0.739544
3955.0,0.760263
3960.0,0.683491
3965.0,0.526110
3970.0,0.442419
3975.0,0.557305
3980.0,0.728125
3985.0,0.848686
3990.0,0.951137
3995.0,1.005971
4000.0,1.013685
4005.0,1.007308
4010.0,1.017449
4015.0,1.045503
4020.0,1.065638
4025.0,1.070404
4030.0,1.035609
