wavelength_angstrom,normalized_flux
3000.0,0.106468
3005.0,0.107736
3010.0,0.109340
3015.0,0.111222
3020.0,0.113324
3025.0,0.115590
3030.0,0.117962
3035.0,0.120382
3040.0,0.122794
3045.0,0.125140
3050.0,0.127363
3055.0,0.129419
3060.0,0.131322
3065.0,0.133099
3070.0,0.134776
3075.0,0.136381
3080.0,0.137942
3085.0,0.139485
3090.0,0.141037
3095.0,0.142626
3100.0,0.144279
3105.0,0.146013
3110.0,0.147811
3115.0,0.149646
3120.0,0.151489
3125.0,0.153313
3130.0,0.155091
3135.0,0.156796
3140.0,0.158399
3145.0,0.159875
3150.0,0.161194
3155.0,0.162340
3160.0,0.163331
3165.0,0.164197
3170.0,0.164965
3175.0,0.165666
3180.0,0.166327
3185.0,0.166978
3190.0,0.167647
3195.0,0.168363
3200.0,0.185477
3205.0,0.175966
3210.0,0.171173
3215.0,0.172826
3220.0,0.170904
3225.0,0.157747
3230.0,0.146883
3235.0,0.151525
3240.0,0.162421
3245.0,0.169010
3250.0,0.177944
3255.0,0.195633
3260.0,0.210297
3265.0,0.210042
3270.0,0.200703
3275.0,0.192154
3280.0,0.192703
3285.0,0.206350
3290.0,0.221465
3295.0,0.225844
3300.0,0.232338
3305.0,0.212408
3310.0,0.198665
3315.0,0.201148
3320.0,0.207072
3325.0,0.202097
3330.0,0.188504
3335.0,0.174186
3340.0,0.172870
3345.0,0.191782
3350.0,0.206310
3355.0,0.193472
3360.0,0.168625
3365.0,0.153897
3370.0,0.160148
3375.0,0.188146
3380.0,0.209566
3385.0,0.202611
3390.0,0.200688
3395.0,0.232898
3400.0,0.255930
3405.0,0.228439
3410.0,0.189374
3415.0,0.184779
3420.0,0.208795
3425.0,0.240580
3430.0,0.251259
3435.0,0.223318
3440.0,0.192717
3445.0,0.195360
3450.0,0.213462
3455.0,0.223190
3460.0,0.230208
3465.0,0.241240
3470.0,0.237750
3475.0,0.206877
3480.0,0.183705
3485.0,0.199911
3490.0,0.225591
3495.0,0.226878
3500.0,0.215636
3505.0,0.211070
3510.0,0.214839
3515.0,0.226076
3520.0,0.220966
3525.0,0.218063
3530.0,0.228963
3535.0,0.241720
3540.0,0.252612
3545.0,0.257692
3550.0,0.252846
3555.0,0.247147
3560.0,0.234893
3565.0,0.214767
3570.0,0.200597
3575.0,0.190038
3580.0,0.181266
3585.0,0.170771
3590.0,0.195975
3595.0,0.252616
3600.0,0.274980
3605.0,0.254341
3610.0,0.226584
3615.0,0.234053
3620.0,0.249653
3625.0,0.272727
3630.0,0.278732
3635.0,0.282701
3640.0,0.298789
3645.0,0.290462
3650.0,0.286768
3655.0,0.319254
3660.0,0.345340
3665.0,0.340201
3670.0,0.331935
3675.0,0.334088
3680.0,0.328372
3685.0,0.323800
3690.0,0.337374
3695.0,0.361731
3700.0,0.380777
3705.0,0.350383
3710.0,0.338752
3715.0,0.371476
3720.0,0.366003
3725.0,0.354904
3730.0,0.342324
3735.0,0.322548
3740.0,0.334536
3745.0,0.319420
3750.0,0.310733
3755.0,0.337364
3760.0,0.328614
3765.0,0.341983
3770.0,0.355369
3775.0,0.394439
3780.0,0.419928
3785.0,0.388123
3790.0,0.337250
3795.0,0.315892
3800.0,0.342241
3805.0,0.383545
3810.0,0.393068
3815.0,0.351993
3820.0,0.312461
3825.0,0.284162
3830.0,0.263729
3835.0,0.251170
3840.0,0.271231
3845.0,0.297773
3850.0,0.303628
3855.0,0.305168
3860.0,0.307135
3865.0,0.310718
3870.0,0.296758
3875.0,0.304771
