wavelength_angstrom,normalized_flux
3500.0,0.057233
3505.0,0.09276
3510.0,0.120094
3515.0,0.101288
3520.0,0.066844
3525.0,0.054616
3530.0,0.063401
3535.0,0.081695
3540.0,0.095858
3545.0,0.096384
3550.0,0.09244
3555.0,0.092685
3560.0,0.085057
3565.0,0.060802
3570.0,0.045112
3575.0,0.060285
3580.0,0.083108
3585.0,0.086792
3590.0,0.075771
3595.0,0.061362
3600.0,0.0512
3605.0,0.050212
3610.0,0.056188
3615.0,0.065129
3620.0,0.073026
3625.0,0.076258
3630.0,0.07277
3635.0,0.063199
3640.0,0.057397
3645.0,0.062923
3650.0,0.068939
3655.0,0.065079
3660.0,0.061253
3665.0,0.068054
3670.0,0.078533
3675.0,0.083525
3680.0,0.08254
3685.0,0.077126
3690.0,0.068301
3695.0,0.05879
3700.0,0.058693
3705.0,0.07295
3710.0,0.078482
3715.0,0.054867
3720.0,0.020326
3725.0,0.0
3730.0,0.0
3735.0,0.023552
3740.0,0.049022
3745.0,0.057948
3750.0,0.061339
3755.0,0.072693
3760.0,0.08599
3765.0,0.093603
3770.0,0.100984
3775.0,0.113449
3780.0,0.122693
3785.0,0.119663
3790.0,0.105955
3795.0,0.087767
3800.0,0.079054
3805.0,0.089299
3810.0,0.102325
3815.0,0.100884
3820.0,0.089118
3825.0,0.075246
3830.0,0.062414
3835.0,0.054239
3840.0,0.061284
3845.0,0.0889
3850.0,0.114655
3855.0,0.116411
3860.0,0.101005
3865.0,0.083027
3870.0,0.079092
3875.0,0.096934
3880.0,0.106726
3885.0,0.085003
3890.0,0.071302
3895.0,0.102057
3900.0,0.138285
3905.0,0.11448
3910.0,0.112364
3915.0,0.127204
3920.0,0.143328
3925.0,0.14718
3930.0,0.13894
3935.0,0.127823
3940.0,0.11691
3945.0,0.103729
3950.0,0.09433
3955.0,0.095211
3960.0,0.102432
3965.0,0.114733
3970.0,0.140268
3975.0,0.178929
3980.0,0.2113
3985.0,0.221424
3990.0,0.21646
3995.0,0.212422
4000.0,0.224349
4005.0,0.252656
4010.0,0.279782
4015.0,0.284051
4020.0,0.257451
4025.0,0.213729
4030.0,0.179748
4035.0,0.179079
4040.0,0.217315
4045.0,0.277419
4050.0,0.32925
4055.0,0.346768
4060.0,0.322661
4065.0,0.271418
4070.0,0.220483
4075.0,0.194386
4080.0,0.200204
4085.0,0.224923
4090.0,0.246416
4095.0,0.248452
4100.0,0.23028
4105.0,0.205694
4110.0,0.192292
4115.0,0.197822
4120.0,0.216328
4125.0,0.233909
4130.0,0.238825
4135.0,0.229245
4140.0,0.213189
4145.0,0.201183
4150.0,0.198862
4155.0,0.204793
4160.0,0.213424
4165.0,0.219975
4170.0,0.223157
4175.0,0.223921
4180.0,0.223093
4185.0,0.220694
4190.0,0.217433
4195.0,0.215821
4200.0,0.217835
4205.0,0.222362
4210.0,0.222891
4215.0,0.211354
4220.0,0.184952
4225.0,0.150994
4230.0,0.125758
4235.0,0.124027
4240.0,0.148236
4245.0,0.185333
4250.0,0.213577
4255.0,0.215694
4260.0,0.190453
4265.0,0.153807
4270.0,0.128311
4275.0,0.129964
