wavelength_angstrom,normalized_flux
3500.0,5.553849
3505.0,5.465034
3510.0,5.506341
3515.0,5.528964
3520.0,5.525383
3525.0,5.492723
3530.0,5.432461
3535.0,5.408492
3540.0,5.383089
3545.0,5.350412
3550.0,5.315348
3555.0,5.268064
3560.0,5.215472
3565.0,5.181294
3570.0,5.151640
3575.0,5.064332
3580.0,5.000496
3585.0,4.956786
3590.0,4.938492
3595.0,4.931778
3600.0,4.914600
3605.0,4.898636
3610.0,4.937316
3615.0,4.910562
3620.0,4.873390
3625.0,4.879949
3630.0,4.896858
3635.0,4.908331
3640.0,4.906817
3645.0,4.897730
3650.0,4.896791
3655.0,4.954408
3660.0,4.963260
3665.0,4.921260
3670.0,4.859016
3675.0,4.789067
3680.0,4.730928
3685.0,4.730941
3690.0,4.705989
3695.0,4.676873
3700.0,4.639644
3705.0,4.590496
3710.0,4.602149
3715.0,4.638532
3720.0,4.603949
3725.0,4.533883
3730.0,4.507094
3735.0,4.544147
3740.0,4.599780
3745.0,4.536463
3750.0,4.390773
3755.0,4.322390
3760.0,4.326548
3765.0,4.309671
3770.0,4.257657
3775.0,4.445686
3780.0,4.638746
3785.0,4.617775
3790.0,4.486809
3795.0,4.310945
3800.0,4.340013
3805.0,4.535757
3810.0,4.635430
3815.0,4.648519
3820.0,4.598944
3825.0,4.505975
3830.0,4.280913
3835.0,4.118976
3840.0,4.288995
3845.0,4.447870
3850.0,4.471776
3855.0,4.429366
3860.0,4.410645
3865.0,4.371662
3870.0,4.344462
3875.0,4.299703
3880.0,4.121013
3885.0,3.834561
3890.0,3.808447
3895.0,4.071723
3900.0,4.249123
3905.0,4.270894
3910.0,4.220328
3915.0,4.143891
3920.0,4.077285
3925.0,4.038380
3930.0,3.976930
3935.0,3.979873
3940.0,4.065801
3945.0,4.082828
3950.0,4.060128
3955.0,3.982962
3960.0,3.787206
3965.0,3.475824
3970.0,3.350482
3975.0,3.614794
3980.0,3.806394
3985.0,3.834706
3990.0,3.793397
3995.0,3.764283
4000.0,3.740660
4005.0,3.715607
4010.0,3.685520
4015.0,3.641503
4020.0,3.555322
4025.0,3.470134
4030.0,3.488447
4035.0,3.526244
4040.0,3.567580
4045.0,3.588054
4050.0,3.595747
4055.0,3.563520
4060.0,3.546625
4065.0,3.523078
4070.0,3.473087
4075.0,3.459444
4080.0,3.439579
4085.0,3.382276
4090.0,3.294374
4095.0,3.091724
4100.0,2.896920
4105.0,3.031221
4110.0,3.244087
4115.0,3.309517
4120.0,3.318604
4125.0,3.311059
4130.0,3.304340
4135.0,3.282842
4140.0,3.258918
4145.0,3.244801
4150.0,3.231102
4155.0,3.229472
4160.0,3.213803
4165.0,3.192666
4170.0,3.175755
4175.0,3.165456
4180.0,3.154830
4185.0,3.125080
4190.0,3.061807
4195.0,2.976036
4200.0,2.925914
4205.0,2.978519
4210.0,3.013246
4215.0,3.008003
4220.0,3.002639
4225.0,2.995408
4230.0,2.984229
4235.0,2.954819
4240.0,2.932537
4245.0,2.930752
4250.0,2.928275
4255.0,2.903358
4260.0,2.871778
4265.0,2.847426
4270.0,2.840531
4275.0,2.832905
4280.0,2.820014
4285.0,2.807442
4290.0,2.791812
4295.0,2.789046
4300.0,2.784508
4305.0,2.775176
4310.0,2.778084
4315.0,2.768073
4320.0,2.745305
4325.0,2.714263
4330.0,2.609965
4335.0,2.417091
4340.0,2.304199
4345.0,2.442607
4350.0,2.589814
4355.0,2.653373
4360.0,2.662863
4365.0,2.652761
4370.0,2.638364
4375.0,2.623167
4380.0,2.597995
4385.0,2.577212
4390.0,2.584989
4395.0,2.582220
4400.0,2.561121
4405.0,2.538024
4410.0,2.510464
4415.0,2.463937
4420.0,2.417243
4425.0,2.375760
4430.0,2.340586
4435.0,2.350785
4440.0,2.384998
4445.0,2.410148
4450.0,2.432351
4455.0,2.438818
4460.0,2.413490
4465.0,2.376311
4470.0,2.324116
4475.0,2.333668
4480.0,2.348763
4485.0,2.346370
4490.0,2.340014
4495.0,2.334521
4500.0,2.328965
4505.0,2.309363
4510.0,2.297810
4515.0,2.285011
4520.0,2.280267
4525.0,2.261416
4530.0,2.233078
4535.0,2.172098
4540.0,2.108621
4545.0,2.151205
4550.0,2.194848
4555.0,2.207146
4560.0,2.209116
4565.0,2.196997
4570.0,2.181215
4575.0,2.169757
4580.0,2.171879
4585.0,2.158612
4590.0,2.134382
4595.0,2.123401
4600.0,2.116204
4605.0,2.108387
4610.0,2.113212
4615.0,2.113685
4620.0,2.102574
4625.0,2.084434
4630.0,2.083315
4635.0,2.082672
4640.0,2.088073
4645.0,2.073948
4650.0,2.051712
4655.0,2.037895
4660.0,2.044002
4665.0,2.040011
4670.0,2.018997
4675.0,1.993647
4680.0,1.916061
4685.0,1.859749
4690.0,1.915028
4695.0,1.963758
4700.0,1.958291
4705.0,1.949402
4710.0,1.917382
4715.0,1.899787
4720.0,1.889676
4725.0,1.871239
4730.0,1.874872
4735.0,1.869085
4740.0,1.864865
4745.0,1.862967
4750.0,1.848031
4755.0,1.824786
4760.0,1.803741
4765.0,1.800319
4770.0,1.808924
4775.0,1.798452
4780.0,1.784757
4785.0,1.784232
